jobpost_id,Link,Job_Title,Company_Name,Company_link,Date,Keyword,Location,Employment_Type,Job_Function,Industries,Seniority_Level,Job_Description
1,https://linkedin.com/jobs/view/business-analyst-at-cebu-pacific-air-3685645072,Business Analyst,Cebu Pacific Air,https://ph.linkedin.com/company/cebupacificair?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-17,software development,"Pasay, National Capital Region, Philippines",Full-time,"Research, Analyst, and Information Technology",Airlines and Aviation,Mid-Senior level,"
        <strong>Department</strong><p><br></p>Commercial Systems<p><br></p><strong>Employee Type</strong><p><br></p>Probationary<p><br></p>Cebu Pacific is always up for new challenges, enabling our teams to stay at the forefront of Technological innovations. Pursuing a career in IT at Cebu Pacific will expose you to a highly visible team, who is known to deliver solutions for business analytics, data architecture, technology engineering, project management, IT security, etc. As we continue to journey through this path of recovery and rebuild, we are in search for the right JUAN who share our values of breaking boundaries, never fearing failure or mistakes but rather always in the pursuit of new ideas and better solutions.<p><br></p>Apply today and be JUAN of the game changers of the Philippines’ leading airline, Cebu Pacific as a Business Analyst.<p><br></p>Primary Responsibilities:<p><br></p><ul><li>Unde r s t a n d t he b u s i n e ss i s s u es a nd d a t ach a l l en g esof c l i en t ' s o r g an i z a t i o n and i ndu s tr y . </li><li> R e v i ew and e d i t r eq u ir e m en t s,sp e c i f i c a t i on s , bu s i n es s p r o ces s esand r eco mm en d a t i ons r e l a t ed t o p r o pos e d so l u ti o n. </li><li> D e v e l op do c u m en t a t i on o n bus i ne s s a ndus e rne e ds,o b j e c t i v esand s y s t em r equ i r e m en t s s p e c i f i c a ti o ns o f bo t h i n t e r n aland e x t e r n a l c li e n t sof C e bu Pa c i f i c. </li><li> D e v e l op f u nc t i o n al s pe c i f i ca t i onsand s y s t emde si g n s pec i f i ca t i o n s f o r c l i enten g a g e m en t s. </li><li>Lead t e s t i nge ff o r t sandp a r t i cipa t es i n q u a l it yco n tr o l ,acce p t a n ce t e s t i ngand t h e i m p l e m en t a ti o n of app l i c a t i on s y s t e m s</li><li>Ensu r e i s s u e s a r e i de n t i f i e d, t r ac k ed, r epo r t edon and r e s o l v ed i na t i m e l y m anne r . </li><li>Wo r k w i t h c li e nt p e r sonn e l t o i d e n t if y r eq u i r ed c h an g e s ; co m m un i ca t es n eed e d ch a n g es t o de v e l o p m ent t e a m . </li></ul><p><br></p><strong>Basic Qualifications:</strong><p><br></p><ul><li> Must be a college graduate in any course. </li><li> Must have at least 1 year of experience as a Business Systems Analyst. </li><li> Must have strong background in project management, systems and procedure documentation. </li><li> Trainings and/or Certifications on any of the following are a huge advantage - Agile BA Training, ITIL, Airline Business Applications, Business Process Engineering. </li><li> Critical thinking, problem solving and interpreting complex business periodicals, journals and technical procedures is a must for this role. </li><li> Must have some knowledge in a recognized project management methodology and IT project management framework. </li></ul><p><br></p><strong> Be JUAN of us and together, let's make moments happen. </strong><p><br></p><em> Note: This position is for an Individual Contributor and will be based in Pasay City, Metro Manila but currently follows a hybrid workplace flexibility arrangement. </em><p><br></p><strong>Experience Range Range (Years)</strong><p><br></p>1 - 3 years<p><br></p><strong>Job posted on</strong><p><br></p>2022-06-21
      "
2,https://linkedin.com/jobs/view/junior-software-engineer-at-likha-it-inc-3719999128,Junior Software Engineer,Likha-iT Inc.,https://ph.linkedin.com/company/likha-it-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-13,software development,"Manila, National Capital Region, Philippines",Full-time,Engineering and Information Technology,IT Services and IT Consulting,Entry level,"
        <strong>What You Will Do</strong><p><br></p><ul><li>Develop one of our web services with modern web technologies.</li><li>Collaborate with teams to make our services and teams better</li><li>Maintain and troubleshoot existing web applications.</li><li>Improve and maintain applications after deployment.'</li><li>Create back-end components.</li><li>Develop and maintain APIs.</li><li>Integrate user-facing elements designed by the front-end team.</li></ul><p><br></p><strong>Minimum Qualifications</strong><p><br></p><strong>Minimum qualifications:</strong><p><br></p><ul><li>Over 1 - 2 years of practical development experience as a software engineer</li><li>Experience covering front-end, back-end, and infrastructure.</li><li>Experience to contribute organizational activities including evaluation, hiring, and hosting tech events.</li><li>Ability to understand products, business, and customer’s needs.</li></ul><p><br></p><strong>Preferred Qualifications</strong><p><br></p><ul><li>Work experience in Japanese environment</li><li>Experience in designing, developing, and operating services from scratch.</li><li>Those who have development experience with Ruby on Rails</li></ul><p><br></p><strong>Candidates with the following mindset is very welcome to apply:</strong><p><br></p><ul><li>Want to create valuable products and deliver them to customers as quickly as possible and with quality.</li><li>Want to help other engineers grow.</li><li>Want to always try new things.</li><li>Think outside the box.</li></ul><p><br></p><strong>Characteristic Of a Great Candidate</strong><p><br></p><ul><li>Resilient, can embrace, adapt, and bounce back quickly when things don’t go as expected.</li><li>Problem Solver and Analytical Thinker</li><li>Good technical communicator, ability to convert your understanding of a concept into something that is meaningful to somebody else. Making meaning out of complexity.</li><li>Love what you do.</li></ul><p><br></p><strong>Work Arrangement</strong><p><br></p><ul><li>Full-time employment</li><li>Hybrid Set up (thrice working on site &amp; twice wfh) - with Transpo or Housing Assistance Subsidy (5,000 - 10,000 monthly)</li></ul>
      "
3,https://linkedin.com/jobs/view/software-developer-at-geoplan-philippines-inc-3730903624,Software Developer,"Geoplan Philippines, Inc.",https://ph.linkedin.com/company/geoplanph?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-02,software development,"Manila, National Capital Region, Philippines",Full-time,Engineering and Information Technology,IT Services and IT Consulting,Entry level,"
        <strong>Job Summary</strong><p><br></p>A Software Developer should be responsible for developing, coding, installing, and<p><br></p>maintaining software systems. Developers form a key part of the IT team and may be<p><br></p>required to modify existing software products or develop entirely new resources.<p><br></p><strong>Technical Specifications</strong><p><br></p><ul><li>Angular 2 - latest</li><li>React</li><li>Nodejs</li><li>Mongo or any NoSQL related</li><li>SQL based (MSsql/Oracle/MySQL/PostgreSQL)</li><li>JavaEE</li><li>.NET technologies</li></ul><p><br></p><strong>Duties/Responsibilities</strong><p><br></p><ul><li>Work with developers to design algorithms and flowcharts.</li><li>Produce clean, efficient code based on specifications.</li><li>Integrate software components and third-party programs.</li><li>Verify and deploy programs and systems.</li><li>Troubleshoot, debug, and upgrade existing software.</li><li>Gather and evaluate user feedback.</li><li>Able to do technical documentation</li></ul><p><br></p><strong>Nice To Have Skills/Abilities</strong><p><br></p><ul><li>Excellent verbal and written communication skills.</li><li>Proficient with Microsoft Office Suite or related software.</li></ul><p><br></p><strong>Education And Experience</strong><p><br></p><ul><li>Preferably a graduate (2yr-course min.) in IT/Computer Science or a related field.</li><li>A high school diploma or equivalent is welcome as well.</li><li>Preferably with at least 1 year of related experience.</li></ul>
      "
4,https://linkedin.com/jobs/view/full-stack-developer-at-jg-summit-holdings-inc-3718631577,Full Stack Developer,JG Summit Holdings Inc.,https://ph.linkedin.com/company/jgshi?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-12,software development,"Quezon City, National Capital Region, Philippines",Full-time,Engineering and Information Technology,"Technology, Information and Internet",Entry level,"
        We are looking for a full stack developer to join our team and help us build innovative and scalable software solutions. The ideal candidate will have a strong understanding of both the front-end and back-end of web development, as well as experience with a variety of technologies and languages.<p><br></p>Responsibilities:<p><br></p><ul><li>Work with product managers and designers to gather requirements and design applications</li><li>Develop the user interface (UI) using HTML, CSS, and JavaScript</li><li>Develop the back-end logic using Java, Python, or C#</li><li>Integrate with databases and other third-party services</li><li>Test and debug applications </li><li>Deploy applications to production</li></ul><p><br></p>Qualifications:<p><br></p><ul><li>Bachelor's degree in computer science or a related field</li><li>3+ years of experience in full stack development</li><li>Strong understanding of HTML, CSS, JavaScript, and a back-end language such as Java, Python, or C#</li><li>Experience with a variety of web development frameworks and libraries</li><li>Experience with databases and data modeling</li><li>Excellent problem-solving and debugging skills</li><li>Ability to work independently and as part of a team</li><li>Excellent communication and interpersonal skills</li></ul>
      "
5,https://linkedin.com/jobs/view/full-stack-developer-at-bell-kenz-pharma-inc-3695199926,Full Stack Developer,"Bell-Kenz Pharma, Inc.",https://ph.linkedin.com/company/bellkenzpharmainc?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-16,software development,"Quezon City, National Capital Region, Philippines",Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing,Associate,"
        <ul><li>Developing front end website architecture.</li><li> Designing user interactions on web pages.</li><li> Developing back end website applications.</li><li> Creating servers and databases for functionality.</li><li> Ensuring cross-platform optimization for mobile phones.</li><li> Ensuring responsiveness of applications.</li><li> Working alongside graphic designers for web design features.</li><li> Seeing through a project from conception to finished product.</li><li> Designing and developing APIs.</li><li> Deployment of source code via GIT</li><li> Meeting both technical and consumer needs.</li><li> Staying abreast of developments in web applications and programming languages.</li></ul><p><br></p><strong>Minimum Qualifications</strong><p><br></p><ul><li>Strong analytical and planning skills;</li><li>Good communication and presentation skills;</li><li>Excellent problem-solving skills;</li><li>Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.</li><li>Familiarity with JavaScript frameworks such as REACTJS.</li><li>Core Web Programming languages &amp; platforms, including HTML5, CSS3, PHP, MySQL, and JavaScript.</li><li>Object-oriented and MVC (Laravel) development experience strongly preferred.</li><li>Knowledge in SVN like GIT</li><li>Familiarity in BitBucket and JIRA</li><li>Knowledge of web services / API integration</li><li>Knowledge in CI/CD like Pipeline is a big Plus</li><li>Knowledge in AWS server configuration is a Plus</li></ul>
      "
6,https://linkedin.com/jobs/view/junior-web-developer-at-powersolv-incorporated-3730373111,Junior Web Developer,PowerSolv Incorporated,https://ph.linkedin.com/company/powersolv-incorporated?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-02,software development,"Quezon City, National Capital Region, Philippines",Full-time,Information Technology,Software Development,Entry level,"
        We are seeking a self-motivated Web Developer with expertise in VB.NET to join our team. In this role, you will be responsible for designing, developing, and incorporating a C++ DLL into our web Software-as-a-Service (SAAS) application using VB.NET. As the web developer on the team, you will have the opportunity to learn independently and contribute to all aspects of the web application development process.<p><br></p><strong>Responsibilities</strong><p><br></p><ul><li>Web application development: Design, develop, and maintain web applications using VB.NET as the primary programming language. Utilize HTML, CSS, JavaScript, and other relevant technologies to create responsive and user-friendly web interfaces.</li><li>Understanding and working with existing VB.NET code: Analyze and understand the existing VB.NET codebase, identifying areas for improvement, refactoring, and optimization. Implement modifications and enhancements based on stakeholder requirements. </li><li>Integration of C++ DLL: Collaborate with stakeholders to understand the requirements and functionality of the C++ DLL. Develop strategies and implement the necessary steps to integrate the DLL into the web application.</li><li>Back-end development: Build server-side functionalities using VB.NET, to facilitate the interaction between the web application and the C++ DLL.</li><li>Front-end development: Create user interfaces and implement interactive features using HTML, CSS, and JavaScript.</li><li>Troubleshooting and debugging: Independently identify and resolve issues related to web development and the existing VB.NET codebase. Utilize problem-solving skills and debugging techniques to troubleshoot technical challenges.</li><li>Testing and optimization: Conduct comprehensive testing of web applications to ensure functionality, performance, and cross-browser compatibility. Optimize the applications for speed, scalability, and user experience.</li><li>Documentation: Document the integration process, code changes, and troubleshooting steps for future reference and knowledge sharing.</li><li>Self-learning and skill enhancement: Continuously learn and stay updated on the latest web development technologies, frameworks, and best practices. Take the initiative to enhance your skills independently.</li></ul><p><br></p><strong>Requirements</strong><p><br></p><ul><li>Education: Bachelor's degree in Computer Science, Software Engineering, Electrical Engineering, or a related field. Relevant coursework or certifications in web development will be advantageous.</li><li>VB.NET proficiency: Strong expertise in VB.NET programming language, with a thorough understanding of object-oriented programming principles and experience in developing web applications using VB.NET. </li><li>Web development knowledge: Solid understanding of web development technologies, including HTML, CSS, JavaScript.</li><li>Understanding of existing VB.NET codebase: Ability to analyze and comprehend existing VB.NET code, identify areas for improvement, and implement modifications and enhancements. </li><li>Problem-solving skills: Strong analytical thinking and problem-solving abilities to identify and resolve web development and integration issues.</li><li>Attention to detail: Keen attention to detail to ensure accurate implementation of web design elements and adherence to coding standards.</li><li>Self-motivation and independence: Demonstrated ability to work independently, take ownership of tasks, and drive the integration process forward with minimal supervision.</li><li>Team player: Willingness to collaborate effectively with other team members, such as stakeholders and project managers, to understand requirements and provide updates on progress.</li></ul>
      "
7,https://linkedin.com/jobs/view/junior-software-engineer-fort-bgc-taguig-at-mediatics-digital-indonesia-3719613708,Junior Software Engineer | Fort BGC Taguig,Mediatics Digital Indonesia,https://id.linkedin.com/company/mediatics-digital-indonesia?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-18,software development,"Taguig, National Capital Region, Philippines",Full-time,Engineering and Information Technology,Advertising Services,Entry level,"
        <ul><li>Be part of a team that develops a new software product from the ground up, staying true to company’s core values and needs while lending your own creativity to the mix.</li><li>Create scaleable and automated solutions for the customer.</li><li>Write tests for existing and created code to ensure compatibility and stability.</li><li>Be responsible for programming related task such as coding.</li></ul><p><br></p><strong>Minimum Qualifications</strong><ul><li>Graduate of any BS IT, Computer Science, Computer Engineering or related courses (Bachelor's degree only).</li><li>Fresh graduates or those with 6 months to one year experience are welcome to apply.</li><li>Proficient in analytical skills, both written and oral.</li><li>Good communication skills.</li><ul><li>Can converse and write well in English.</li></ul><li>Good problem solving skills.</li><li>Highly analytical.</li></ul>
      "
8,https://linkedin.com/jobs/view/software-developer-at-icas-technology-s-pte-ltd-3630642226,Software Developer,ICAS Technology (S) Pte Ltd,https://sg.linkedin.com/company/icastechnologys?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-05-15,software development,Philippines,Full-time,Engineering and Information Technology,Software Development,Entry level,"
        ICAS has been a leader in IT consulting services for 40+ years, serving small, medium, and large companies and organizations in virtually every industry and marketplace including local and national regions. ICAS designs innovative, customized, and secure infrastructures in data, voice, video (AV), security, and wireless from concept to delivery. ICAS provides turnkey network solutions and is a provider of custom cabling to secure worldwide business leadership.<p><br></p><strong>The Role</strong><p><br></p><strong><u>Your Responsibilities Will Include</u></strong><p><br></p><ul><li>Writing well-designed, testable, and efficient code.</li><li>Gathering and evaluating user feedback.</li><li>Working as a part of a dynamic team to deliver winning products.</li><li>Providing code documentation and other inputs to technical documents.</li><li>Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.</li></ul><p><br></p><strong>Ideal Profile</strong><p><br></p><strong><u>Skills Required</u></strong><p><br></p><ul><li>You possess a Degree/Diploma in Computer Science, Engineering, or a related field.</li><li>You have at least 3 years of experience, ideally within a Software Engineer role.</li><li>You possess strong knowledge of C# and ASP.Net.</li><li>You are familiar with the Windows operating system.</li><li>You have good knowledge of Microsoft SQL databases.</li><li>You possess strong analytical skills and are comfortable dealing with numerical data</li><li>You are a strong team player who can manage multiple stakeholders</li><li>You are highly goal driven and work well in fast-paced environments</li></ul><p><br></p><strong>What's on Offer?</strong><p><br></p><ul><li>Work alongside &amp; learn from best in class talent</li></ul>
      "
9,https://linkedin.com/jobs/view/software-engineer-full-stack-javascript-remote-at-magic-3719407718,Software Engineer (Full Stack Javascript) - Remote,Magic,https://www.linkedin.com/company/get-magic-now?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-13,software development,Philippines,Full-time,Engineering,"Technology, Information and Internet",Mid-Senior level,"
        <strong>About Magic</strong><p><br></p>Magic is a leading modern outsourcing platform that connects SMBs to high-quality remote workers, from SDRs to virtual assistants and more. With roots in Silicon Valley, and backing from top venture capitalists, our workers are supercharged with a combination of the latest AI technology and training.<p><br></p><strong>Background</strong><p><br></p>Our company came out of Y Combinator in 2015. Since then we've grown to 1000+ remote workers, with strong venture-backing (including Sequoia Capital) and over $30M in funding to date. We are fully remote across Asia and US time zones.<p><br></p><ul><li>Check out Magic's Business Profile </li><li>Know more about our Team via Magic's Careers Page </li></ul><p><br></p><strong>Why this role exists</strong><p><br></p>We're the Engineering Team at Magic, a company that provides virtual assistants, matched and managed for our clients with the software we build.<p><br></p>Our tech stack is JavaScript, React, Next.js, AWS Lambda, and PostgreSQL.<p><br></p>Our company came out of Y Combinator in 2015 with strong venture-backed funding with over $17MM raised to date and a round led by Sequoia Capital. We've got one team of 5 engineers plus a project manager, a product team, and a designer. We plan to add a second team within 6 months so you can grow and learn as either an individual contributor or a team lead.<p><br></p>Knowledge transfer and learning are core values, so we expect you to contribute to mentoring, code reviews, pair programming, and tech exploration, while striving to improve our agile software development process.<p><br></p><strong>The basics:</strong><p><br></p><ul><li>Fully remote across Asia and US time zones (we have no physical office and are staying 100% remote even when the pandemic ends)</li><li>Our engineers self-manage, working async at any time they wish</li><li>Require only a few meetings for scrum coordination or pairing</li><li>Encourage work time contributed to open source or civic engagement projects Build a strong learning culture around mentorship, pairing, blogging, exploratory projects, in-house talks, and outside conferences</li><li>Actively explore and adopt new tech (for example, moving from frameworks to HTML-standard web components)</li></ul><p><br></p><strong>The impact you'll make:</strong><p><br></p><ul><li>Conduct in-depth research on emerging machine learning technologies and provide insights and recommendations to the organization</li><li>Use AI technologies and APIs to drive business growth and improve operational efficiency through automation and other means.</li><li>Implement software solutions and conduct code reviews</li><li>Collaborate with cross-functional teams to identify areas where AI can be leveraged to drive innovation and growth</li><li>Develop and implement best practices for AI development and deployment</li><li>Apply GPT, GPT-type technology</li></ul><p><br></p><strong>Within 1 month, you'll:</strong><p><br></p><ul><li>Complete onboarding and get familiar with our tools and process</li><li>Get to know the team</li><li>Work with colleagues to release small features and bug fixes</li></ul><p><br></p><strong>Within 3 months, you'll:</strong><p><br></p><ul><li>Be responsible for releasing features to production on a rapid agile cadence</li></ul><p><br></p><strong>Within 6 months, you'll:</strong><p><br></p><ul><li>Take ownership and lead a technical project;</li><li>Or, become an expert on a specific technology or product domain</li><li>Help to set direction for the AI Engineering team</li></ul><p><br></p><strong>Within 12 months, you'll:</strong><p><br></p><ul><li>Architect larger systems</li><li>Help to bring on new team members and level up existing team members</li></ul><p><br></p><strong>Our Hiring Process</strong><p><br></p>You choose how to interview! We know different people have different desires for the interviewing process. Here's a menu of ways we can get to know you.<p><br></p>We aim to spend less than 3 hours of your time in interviews and assessments, and we’ll get back to you promptly with a written offer to join the team immediately after your final interview. We realize your time is valuable.<p><br></p><strong>Stage 1</strong><p><br></p>Initial 30-minute discussion with our in-house tech recruiter. Ask her your deal-breaker questions and she'll tell you why you might want to work for our company.<p><br></p><strong>Stage 2</strong><p><br></p>Talk to the Technical Project Manager for a ""culture fit"" interview. You can schedule a 1-hour interview to find out what it's like working on our engineering team and give us the chance to get to know your style as well.<p><br></p><strong>Stage 3</strong><p><br></p>We want to see how you solve a tech problem. The best way for us to assess your technical proficiency is with a simulated code review. We'll give you a pull request from a small JavaScript application. Perform a code review and explain how you could improve the code (a one hour live call with a senior engineer).<p><br></p><strong>Stage 4</strong><p><br></p>30-minute interview with our Head of Engineering to discuss our expectations for job success and your expectations for job growth.<p><br></p>If you're interested in this job, take the next step and set up a call with our in-house tech recruiter.<p><br></p>We look forward to meeting you! Get started now by using the this link to schedule your initial interview: : https://calendly.com/ysai-lafrades/initial_discussion<p><br></p><strong>Requirements</strong><p><br></p><ul><li>A bachelor's or master's degree in Computer Science, Electrical Engineering, or a related field</li><li>3+ years of experience working with AI products and deployment</li><li>Background in working and interacting with existing AI APIs</li><li>Extensive knowledge of machine learning algorithms and their applications</li><li>Strong programming skills (JavaScript - preferably React, Next, Node)</li><li>Excellent communication skills and the ability to collaborate effectively with cross-functional teams</li><li>A passion for staying current with emerging AI technologies and trends</li><li>Nice to have: experience with AI libraries such as TensorFlow, PyTorch, and scikit-learn</li></ul>
      "
10,https://linkedin.com/jobs/view/full-stack-developer-at-mynextfilm-3630642290,Full Stack Developer,MyNextFilm,https://in.linkedin.com/company/my-next-film?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-05-16,software development,Philippines,Full-time,Engineering and Information Technology,Information Services and Software Development,Entry level,"
        <strong>My Next Film (MNF)</strong> is a technology start-up which initiate s at developing we based products for filmmakers to automate film making processes and make filmmaking processes easier.<p><br></p><strong>The Role</strong><p><br></p>We are looking for a talented and creative Full Stack Developer to work at the highest levels of programming. You will be responsible for all Frontend and Backend parts including APIs, design ideas, and requirement<p><br></p><strong><u>Objectives Of The Role</u></strong><p><br></p><ul><li> Take ownership of the features and components.</li><li>Assist the development process by contributing suggestions for improvements and driving the quality of code throughout production.</li><li>Mentor other developers on the team to help maintain the quality of code, products, and processes to deliver complex features on time and at high standards.</li></ul><p><br></p><strong><u>Responsibilities</u></strong><p><br></p><ul><li> Design and develop highly responsive and scalable web applications using React JS and related technologies.</li><li>Planning, designing, and implementing high-quality features, working with the MNF team.</li><li>Design, build, and maintain efficient, reliable, and reusable code.</li><li>Ensure the optimal performance, quality, and responsiveness of applications.</li><li>Create and maintain RESTful APIs to communicate with the front end and database.</li><li>Design, develop and maintain databases using MongoDB.</li></ul><p><br></p><strong>Ideal Profile</strong><p><br></p><ul><li>You possess a bachelor's degree in computer science or equivalent</li><li>You have a minimum of 1+ years of experience in developing web applications using Python and Django.</li><li>You have strong proficiency in React JS, JavaScript, HTML5, CSS3, and related web technologies.</li><li>You have a good understanding of software development principles and design patterns.</li><li>You have experience with version control systems such as Git.</li></ul><p><br></p><strong>What's on Offer?</strong><p><br></p><ul><li>Great work environment</li><li>Excellent career development opportunities</li><li>Opportunity to make a positive impact</li></ul>
      "
