subject_id,course,year,subject
1,Computer Science,1,Introduction to Computing
2,Computer Science,1,Computer Programming 1
3,Computer Science,1,Computer Programming 2
4,Computer Science,1,Discrete Structures 1
5,Computer Science,2,Modeling and Simulation
6,Computer Science,2,Data Structures and Algorithms
7,Computer Science,2,Discrete Structures 2
8,Computer Science,2,Object Oriented Programming
9,Computer Science,2,Logic Design and Digital Computer Circuits
10,Computer Science,2,Design and Analysis of Algorithms
11,Computer Science,2,Information Management
12,Computer Science,2,Operating Systems
13,Computer Science,2,Technical Documentation and Presentation Skills in ICT
14,Computer Science,3,Fundamentals of Research
15,Computer Science,3,Application Development and Emerging Technologies
16,Computer Science,3,Computer Organization and Assembly Language
17,Computer Science,3,Automata and Language Theory
18,Computer Science,3,Principles of Programming Languages
19,Computer Science,3,Human Computer Interaction
20,Computer Science,3,Information Assurance and Security
21,Computer Science,3,Software Engineering 1
22,Computer Science,3,Web Development
23,Computer Science,3,CS Thesis Writing 1
24,Computer Science,3,Introduction to Artificial Intelligence
25,Computer Science,3,Data Communications and Networking
26,Computer Science,4,CS Thesis Writing 2
27,Computer Science,4,Software Engineering 2
28,Computer Science,4,Professional Ethics for Computer Scientist
29,Computer Science,4,IT Social and Professional Issues
30,Information Technology,1,Introduction to Computing
31,Information Technology,1,Computer Programming
32,Information Technology,1,Discrete Structures 1
33,Information Technology,1,Computer Programming 2
34,Information Technology,2,Operating Systems
35,Information Technology,2,Programming 3 (Structured Programming)
36,Information Technology,2,Data Communications and Networking
37,Information Technology,2,Data Structures and Algorithms
38,Information Technology,2,Network Administration
39,Information Technology,2,Human Computer Interaction
40,Information Technology,2,Quantitative Methods with Modeling and Simulation
41,Information Technology,2,Integrative Programming and Technology
42,Information Technology,2,Object Oriented Programming
43,Information Technology,2,Information Management
44,Information Technology,3,Web Development
45,Information Technology,3,Systemm Integration and Architecture 1
46,Information Technology,3,Multimedia
47,Information Technology,3,Database Administration
48,Information Technology,3,Fundamentals of Research
49,Information Technology,3,Principles of Management and Organization
50,Information Technology,3,Information Assurance and Security 1
51,Information Technology,3,Technopreneurship
52,Information Technology,3,Systems Analysis and Design
53,Information Technology,3,Applications Development and Emerging Technologies
54,Information Technology,4,Information Assurance and Security 2
55,Information Technology,4,Systems Administration and Maintenance
56,Information Technology,4,Social and Professional Issues in IT
