id,year,course_id,subject_id
1,1,1,1
2,1,1,2
3,1,1,3
4,1,1,4
5,2,1,5
6,2,1,6
7,2,1,7
8,2,1,8
9,2,1,9
10,2,1,10
11,2,1,11
12,2,1,12
13,2,1,13
14,3,1,14
15,3,1,15
16,3,1,16
17,3,1,17
18,3,1,18
19,3,1,19
20,3,1,20
21,3,1,21
22,3,1,22
23,3,1,23
24,3,1,24
25,3,1,25
26,4,1,26
27,4,1,27
28,4,1,28
29,4,1,29
30,1,2,1
31,1,2,2
32,1,2,4
33,1,2,3
34,2,2,12
35,2,2,30
36,2,2,25
37,2,2,6
38,2,2,31
39,2,2,19
40,2,2,32
41,2,2,33
42,2,2,8
43,2,2,11
44,3,2,22
45,3,2,34
46,3,2,35
47,3,2,36
48,3,2,14
49,3,2,37
50,3,2,20
51,3,2,38
52,3,2,39
53,3,2,40
54,4,2,41
55,4,2,42
56,4,2,43
