keyword,title,company,company_link,date_posted,link_clean,id
testing and quality assurance,QA/QC Engineer,Filinvest Development Corporation,https://ph.linkedin.com/company/filinvestgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-07-19,https://ph.linkedin.com/jobs/view/qa-qc-engineer-at-filinvest-development-corporation-3667997744?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,1
testing and quality assurance,QA Tester,Cyfle,https://ph.linkedin.com/company/cyflehrs?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-07-19,https://ph.linkedin.com/jobs/view/qa-tester-at-cyfle-3683246427?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,2
testing and quality assurance,eCommerce QA Test Lead – Work from Home – Mid-Shift,Filta.,https://au.linkedin.com/company/filta?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-08,https://ph.linkedin.com/jobs/view/ecommerce-qa-test-lead-%E2%80%93-work-from-home-%E2%80%93-mid-shift-at-filta-3710584320?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,3
testing and quality assurance,Manual QA Analyst,"Xurpas, Inc.",https://ph.linkedin.com/company/xurpas-inc.?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-04,https://ph.linkedin.com/jobs/view/manual-qa-analyst-at-xurpas-inc-3683583743?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,4
testing and quality assurance,QA Tester,Questronix Corporation,https://ph.linkedin.com/company/questronixcorp?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-04,https://ph.linkedin.com/jobs/view/qa-tester-at-questronix-corporation-3711071278?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,5
testing and quality assurance,QA Tester,Questronix Corporation,https://ph.linkedin.com/company/questronixcorp?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-07-26,https://ph.linkedin.com/jobs/view/qa-tester-at-questronix-corporation-3675959173?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,6
testing and quality assurance,Quality Assurance Analyst,Kwanii,https://au.linkedin.com/company/kwanii?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-07,https://ph.linkedin.com/jobs/view/quality-assurance-analyst-at-kwanii-3687771409?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,7
testing and quality assurance,Head of Quality Assurance,BDO Unibank,https://ph.linkedin.com/company/bdo-unibank?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-30,https://ph.linkedin.com/jobs/view/head-of-quality-assurance-at-bdo-unibank-3677671820?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,8
testing and quality assurance,Senior QA Analyst,XAM Consulting,https://au.linkedin.com/company/xam-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,2022-12-18,https://ph.linkedin.com/jobs/view/senior-qa-analyst-at-xam-consulting-3430527674?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,9
testing and quality assurance,Sr. Software QA Tester,Questronix Corporation,https://ph.linkedin.com/company/questronixcorp?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-06-27,https://ph.linkedin.com/jobs/view/sr-software-qa-tester-at-questronix-corporation-3648739906?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,10
testing and quality assurance,Quality Assurance Analyst - Manual,Infor,https://www.linkedin.com/company/infor?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-12,https://ph.linkedin.com/jobs/view/quality-assurance-analyst-manual-at-infor-3705709065?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,11
testing and quality assurance,"QA Test Lead (100%-Remote, Full-time Contract)",PeoplePlusTech Inc.,https://ph.linkedin.com/company/peopleplustech?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-02,https://ph.linkedin.com/jobs/view/qa-test-lead-100%25-remote-full-time-contract-at-peopleplustech-inc-3682838601?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,12
testing and quality assurance,Quality Assurance (QA) Manager,World Class Laminate,https://ph.linkedin.com/company/world-class-laminate?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-01,https://ph.linkedin.com/jobs/view/quality-assurance-qa-manager-at-world-class-laminate-3710288964?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,13
testing and quality assurance,Quality Supervisor,Syngenta,https://ch.linkedin.com/company/syngenta?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-06,https://ph.linkedin.com/jobs/view/quality-supervisor-at-syngenta-3711181360?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,14
testing and quality assurance,Automation Tester - Postman (Homebased 1851276671),Outsourced,https://ph.linkedin.com/company/outsourced-quality-assured-services?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-02,https://ph.linkedin.com/jobs/view/automation-tester-postman-homebased-1851276671-at-outsourced-3701824109?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,15
networking and infrastructure,IT Support Analyst (Saudi Arabia),Eram Talent,https://sa.linkedin.com/company/eramtalent?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-07,https://ph.linkedin.com/jobs/view/it-support-analyst-saudi-arabia-at-eram-talent-3712645648?refId=emCdHeIHpKmSUszloLKiyQ%3D%3D,16
testing and quality assurance,Quality Assurance and Product Specialist,FoodByUs,https://au.linkedin.com/company/foodbyus-pty-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-20,https://ph.linkedin.com/jobs/view/quality-assurance-and-product-specialist-at-foodbyus-3695954350?refId=UEMuM06FHziMghHVtdtg2w%3D%3D,17
