id,subject_id,skill_id
1,1,236
1,1,316
1,1,273
2,2,316
2,2,279
2,2,62
3,3,313
3,3,62
3,3,273
4,4,290
4,4,241
4,4,284
5,5,244
5,5,276
5,5,312
6,6,241
6,6,273
6,6,298
7,7,258
7,7,284
7,7,7
8,8,159
8,8,62
8,8,279
9,9,286
9,9,277
9,9,311
10,10,243
10,10,236
10,10,249
11,11,31
11,11,282
11,11,248
12,12,292
12,12,271
12,12,260
13,13,234
13,13,176
13,13,302
14,14,235
14,14,7
14,14,304
15,15,62
15,15,289
15,15,259
16,16,260
16,16,253
16,16,255
17,17,297
17,17,261
17,17,285
18,18,293
18,18,275
18,18,299
19,19,51
19,19,294
19,19,225
20,20,82
20,20,58
20,20,11
21,21,239
21,21,305
21,21,62
22,22,270
22,22,267
22,22,240
22,22,139
23,23,314
23,23,303
23,23,283
24,24,238
24,24,137
24,24,246
25,25,266
25,25,309
25,25,262
26,26,314
26,26,303
26,26,283
27,27,233
27,27,62
27,27,305
28,28,237
28,28,278
28,28,263
29,29,256
29,29,254
29,29,280
30,30,307
30,30,236
30,30,279
31,31,281
31,31,265
31,31,274
32,32,296
32,32,244
32,32,276
33,33,287
33,33,251
33,33,279
34,34,268
34,34,288
34,34,272
35,35,264
35,35,308
35,35,232
36,36,42
36,36,247
36,36,14
37,37,250
37,37,315
37,37,306
38,38,242
38,38,252
38,38,218
39,39,301
39,39,269
39,39,291
40,40,310
40,40,289
40,40,257
41,41,245
41,41,58
41,41,11
42,42,271
42,42,300
42,42,295
43,43,256
43,43,254
43,43,280
