id,subject_id,skill_id
1,1,137
1,1,44
1,1,5
2,2,44
2,2,45
2,2,87
3,3,133
3,3,87
3,3,5
4,4,30
4,4,68
4,4,54
5,5,33
5,5,160
5,5,22
6,6,68
6,6,5
6,6,42
7,7,73
7,7,54
7,7,113
8,8,74
8,8,87
8,8,45
9,9,126
9,9,150
9,9,146
10,10,76
10,10,137
10,10,123
11,11,29
11,11,79
11,11,140
12,12,138
12,12,164
12,12,154
13,13,118
13,13,70
13,13,36
14,14,88
14,14,113
14,14,106
15,15,87
15,15,127
15,15,2
16,16,154
16,16,75
16,16,3
17,17,37
17,17,84
17,17,130
18,18,23
18,18,6
18,18,117
19,19,19
19,19,58
19,19,18
20,20,156
20,20,38
20,20,60
21,21,122
21,21,94
21,21,87
22,22,27
22,22,108
22,22,77
22,22,69
23,23,159
23,23,12
23,23,24
24,24,20
24,24,112
24,24,100
25,25,31
25,25,82
25,25,32
26,26,159
26,26,12
26,26,24
27,27,63
27,27,87
27,27,94
28,28,61
28,28,114
28,28,135
29,29,50
29,29,78
29,29,1
30,30,8
30,30,137
30,30,45
31,31,46
31,31,145
31,31,59
32,32,125
32,32,33
32,32,160
33,33,86
33,33,161
33,33,45
34,34,157
34,34,13
34,34,34
35,35,83
35,35,25
35,35,129
36,36,110
36,36,107
36,36,124
37,37,93
37,37,143
37,37,153
38,38,14
38,38,17
38,38,102
39,39,163
39,39,55
39,39,71
40,40,15
40,40,127
40,40,90
41,41,28
41,41,38
41,41,60
42,42,164
42,42,158
42,42,101
43,43,50
43,43,78
43,43,1
