id,skill_id,test_id
1,19,1
2,28,1
3,27,1
4,52,2
5,67,2
6,16,2
7,43,3
8,30,3
9,13,3
10,24,4
11,4,4
12,49,4
13,33,5
14,57,5
15,58,5
16,22,6
17,8,6
18,1,6
19,55,7
20,12,7
21,37,7
22,10,7
23,55,8
24,12,8
25,37,8
26,10,8
27,5,9
28,23,9
29,11,9
30,36,10
31,61,10
32,1,10
33,31,11
34,62,11
35,21,11
36,66,12
37,54,12
38,6,12
39,60,13
40,53,13
41,2,13
42,46,14
43,68,14
44,50,14
45,51,14
46,29,15
47,35,15
48,45,15
49,38,16
50,34,16
51,25,16
52,42,17
53,59,17
54,47,17
55,14,17
56,25,18
57,63,18
58,26,18
59,48,19
60,18,19
61,40,19
62,57,20
63,39,20
64,20,20
65,64,21
66,57,21
67,32,21
68,3,22
69,57,22
70,17,22
71,9,23
72,53,23
73,56,23
74,9,24
75,53,24
76,56,24
77,9,25
78,53,25
79,56,25
80,41,26
81,65,26
82,44,26
83,41,27
84,65,27
85,44,27
86,41,28
87,65,28
88,44,28
89,44,29
90,15,29
91,7,29
92,44,30
93,15,30
94,7,30
