id,link,keyword,job_title,company_name,company_link,date_posted,location,employment_type,job_function,industries,seniority_level,job_description,field_id
1,https://linkedin.com/jobs/view/web-developer-at-inquirer-net-3748951402?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=kf7gCAZDdmbmgd%2Ft23MgeQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Web Developer,INQUIRER.net,https://linkedin.com/company/inquirerdotnet?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-25,"Manila, National Capital Region, Philippines",Full-time,Engineering and Information Technology,Online Media,Entry level,"
        <ul><li>Develops efficient and optimal applications for the Inquirer Interactive’s network of websites.</li><li>Maintains a hands-on role in assuring and continually improving Inquirer Interactive’s web development process. This includes requirements, analysis, prototyping, design, implementation, testing, and post-mortems (documentation, reports, and support).</li><li>Submits status report of projects, as required.</li><li>Maintains and updates existing back-end solutions for additional features and existing bugs.</li><li>Responds promptly and professionally to bug reports. This includes being on call 24/7 in case situations like these do occur.</li><li>Works closely with the Multimedia team in the development of the company’s websites and services.</li><li>Interfaces directly, as needed, with the editorial and sales departments for tasks related to the applications being developed/maintained.</li><li>Carries out miscellaneous tasks in support of the organization's goals.</li><li>Performs other related tasks that may be assigned<br><br></li></ul><strong>Minimum Qualifications<br><br></strong><ul><li>College Graduate, preferably B.S Computer Science/Engineering or any related course</li><li>At least one (1) year experience in a related job</li><li>A solid understanding of client-side and web-based internet and intranet technologies.</li><li>Familiarity in the latest Internet trends and technologies. </li><li>Has good quality management and good communication skills.</li><li>Proficient in HTML5, PHP, MySQL, CSS, XHTML, XML, RSS, Ajax, Javascript (Angular JS is an advantage)</li><li>Knowledgeable in databases like MongoDB, PostgreSQL</li><li>Knowledgeable in other web applications development tools/languages</li></ul>
      ",1
2,https://linkedin.com/jobs/view/business-analyst-at-cebu-pacific-air-3685645072?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=CLiI8CIFN41V%2BDllT%2BOL3A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Business Analyst,Cebu Pacific Air,https://linkedin.com/company/cebupacificair?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-11-03,"Pasay, National Capital Region, Philippines",Full-time,"Research, Analyst, and Information Technology",Airlines and Aviation,Mid-Senior level,"
        <strong>Department</strong><p><br></p>Commercial Systems<p><br></p><strong>Employee Type</strong><p><br></p>Probationary<p><br></p>Cebu Pacific is always up for new challenges, enabling our teams to stay at the forefront of Technological innovations. Pursuing a career in IT at Cebu Pacific will expose you to a highly visible team, who is known to deliver solutions for business analytics, data architecture, technology engineering, project management, IT security, etc. As we continue to journey through this path of recovery and rebuild, we are in search for the right JUAN who share our values of breaking boundaries, never fearing failure or mistakes but rather always in the pursuit of new ideas and better solutions.<p><br></p>Apply today and be JUAN of the game changers of the Philippines’ leading airline, Cebu Pacific as a Business Analyst.<p><br></p>Primary Responsibilities:<p><br></p><ul><li>Unde r s t a n d t he b u s i n e ss i s s u es a nd d a t ach a l l en g esof c l i en t ' s o r g an i z a t i o n and i ndu s tr y . </li><li> R e v i ew and e d i t r eq u ir e m en t s,sp e c i f i c a t i on s , bu s i n es s p r o ces s esand r eco mm en d a t i ons r e l a t ed t o p r o pos e d so l u ti o n. </li><li> D e v e l op do c u m en t a t i on o n bus i ne s s a ndus e rne e ds,o b j e c t i v esand s y s t em r equ i r e m en t s s p e c i f i c a ti o ns o f bo t h i n t e r n aland e x t e r n a l c li e n t sof C e bu Pa c i f i c. </li><li> D e v e l op f u nc t i o n al s pe c i f i ca t i onsand s y s t emde si g n s pec i f i ca t i o n s f o r c l i enten g a g e m en t s. </li><li>Lead t e s t i nge ff o r t sandp a r t i cipa t es i n q u a l it yco n tr o l ,acce p t a n ce t e s t i ngand t h e i m p l e m en t a ti o n of app l i c a t i on s y s t e m s</li><li>Ensu r e i s s u e s a r e i de n t i f i e d, t r ac k ed, r epo r t edon and r e s o l v ed i na t i m e l y m anne r . </li><li>Wo r k w i t h c li e nt p e r sonn e l t o i d e n t if y r eq u i r ed c h an g e s ; co m m un i ca t es n eed e d ch a n g es t o de v e l o p m ent t e a m . </li></ul><p><br></p><strong>Basic Qualifications:</strong><p><br></p><ul><li> Must be a college graduate in any course. </li><li> Must have at least 1 year of experience as a Business Systems Analyst. </li><li> Must have strong background in project management, systems and procedure documentation. </li><li> Trainings and/or Certifications on any of the following are a huge advantage - Agile BA Training, ITIL, Airline Business Applications, Business Process Engineering. </li><li> Critical thinking, problem solving and interpreting complex business periodicals, journals and technical procedures is a must for this role. </li><li> Must have some knowledge in a recognized project management methodology and IT project management framework. </li></ul><p><br></p><strong> Be JUAN of us and together, let's make moments happen. </strong><p><br></p><em> Note: This position is for an Individual Contributor and will be based in Pasay City, Metro Manila but currently follows a hybrid workplace flexibility arrangement. </em><p><br></p><strong>Experience Range Range (Years)</strong><p><br></p>1 - 3 years<p><br></p><strong>Job posted on</strong><p><br></p>2022-06-21
      ",1
3,https://linkedin.com/jobs/view/junior-software-engineer-remote-at-spectrum-one-3765951640?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=fSoIqmBwdbzS2FEdMGXjxw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Junior Software Engineer (Remote),Spectrum One,https://linkedin.com/company/spectrum-one-software?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-11-15,"Quezon City, National Capital Region, Philippines",Full-time,Other,Software Development,Entry level,"
        Spectrum One is Hiring<br><br>👋 Hello! We’re Spectrum One. We’re on a mission to provide top-notch technical services to growing startups and multinational corporations worldwide. With your help, we aim to become the world’s leading strategic technology partner.<br><br>Since 2015, our support has helped clients raise $150M in funding, and our services are now present in different parts of the world. We owe this biggest milestone with the help of our employees who make up the best team in town.<br><br>Highlights<br><br>🙌 8 years in the software development industry<br><br>📈 Profitable; net revenue growth of 200% in 2021<br><br>💰Over $150M raised funding by our clients<br><br>🌐 Work anywhere in the world with our permanent work-from-home setup<br><br>Why join Spectrum One?<br><br>🏆As a shapeshifter in Spectrum One, you’ll get the opportunity to help grow the company's direction. We don’t micro-manage. We love hustlers who take ownership of their roles. But you’ll get guidance and plenty of support from each other from the team. You’ll be in an environment where learning is always encouraged to empower you to do your best.<br><br>✅ Competitive salary package<br><br>✅ Dayshift, flexible working hours<br><br>✅ Permanent work-from-home setup<br><br>✅ 30 days time off per year (15 vacation days, 15 sick days)<br><br>✅ Bi-annual performance bonus and salary reviews<br><br>✅ Monthly virtual social activities (movie nights, game nights, kapihan sessions, knowledge sharing, etc.)<br><br>✅ Annual company-wide team building (we’re going to Canyon Cove in July!)<br><br>✅ Quarterly face-to-face chill-outs with your team<br><br>✅ Company-sponsored learning opportunities and professional certifications<br><br>✅ Paid Philippine-holidays<br><br>✅ HMO on your first day, which includes your dependents (medical, dental, vision)<br><br>✅ Gym discounts, birthday treats, care packages, free vaccinations, etc.<br><br>✅ Company-provided Macbook<br><br><strong>About The Role<br><br></strong>As a Junior Software Engineer, your role is to learn the tools of the trade and help in the development and maintenance of software applications. You will be working closely with experienced software engineers and team leads to contribute to the success of the development team and deliver high-quality software solutions.<br><br><strong>Responsibilities<br><br></strong><ul><li>Learning and Growth: Gain proficiency in various tools and technologies through a personalized learning plan.</li><li>Software Development: Collaborate with the development team to design, develop, test, and deploy web and mobile applications. This involves writing clean, efficient, and maintainable code.</li><li>Bug Fixing and Troubleshooting: Assist in identifying and resolving software defects or technical issues through debugging, testing, and troubleshooting techniques. </li><li>Documentation and Reporting: Contribute to the project documentation, including software functionalities, user manuals, technical specifications, and test plans.</li><li>Collaborative Development: Join daily standups with the team. Collaborate with developers, designers, and project managers to understand requirements, propose solutions, and contribute to the overall development process.</li><li>Testing and Quality Assurance: Participate in various testing activities, such as functional testing, integration testing, and system testing. Work closely with our project managers and QA testers to ensure the delivery of high-quality software.</li><li>Continuous Improvement: Participate in code reviews and receive constructive feedback to improve code quality, maintainability, and performance. </li><li>Technical Support: Provide technical assistance to users, stakeholders, or clients regarding software usage, configurations, and troubleshooting.<br><br><br></li></ul><strong>Qualifications<br><br></strong><ul><li>A bachelor's degree in Computer Science, IT, software engineering, or equivalent practical experience</li><li>Knowledge of programming fundamentals</li><li>Basic understanding of relational databases and SQL</li><li>Strong problem-solving and analytical skills</li><li>Excellent English communication skills, verbal and written</li><li>Eagerness to learn and adapt to new technologies and programming languages</li><li>Knowledge of Python or JavaScript is a big plus</li><li>Hands-on experience in developing web apps or mobile apps is a big plus<br><br><br></li></ul>Got some questions? Please email us at careers@spectrumone.co or visit our website at www.spectrumone.co to learn more about us.
      ",1
4,https://linkedin.com/jobs/view/software-engineer-makati-at-medgrocer-3735145200?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=rqRlnRyuP4DrwDAGDmUcjA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Software Engineer | Makati,MedGrocer,https://linkedin.com/company/medgrocer?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-06,"Manila, National Capital Region, Philippines",Full-time,Engineering and Information Technology,Wellness and Fitness Services,Entry level,"
        MedGrocer's digitally-enabled ""medicine-as-a-service"" platforms are used by hundreds of employers and pharma companies. Our end-to-end medicine/vaccine programs, telehealth services, and onsite medical staff serve a million Filipinos every year. MedGrocer is one of the more established Filipino Health Tech startups.<p><br></p>The <strong>Software Engineer</strong> leverages programs to drive MedGrocer towards more impactful and effective healthcare services. They collaborate with an agile and innovative team of designers, developers, quality assurance engineers, and project managers.<p><br></p><strong>Key Responsibilities</strong><p><br></p><ul><li>Translate designs and wireframes into code aligned with user experience requirements</li><li>Implement best practices to ensure performance, code readability, and security</li><li>Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement</li><li>Develop reusable code and libraries for future use</li></ul><p><br></p><strong>Why MedGrocer?</strong><p><br></p><ul><li>Progress: To work with autonomy on engaging and stimulating projects that involve innovating current processes and systems to provide a smoother delivery of healthcare services. You will be able to have ownership over your work and have a chance to be exposed to various tools and skills that could enhance your capabilities as a software engineer.</li><li>Purpose: To design and implement an impact in the digitally enabled platform in order to provide holistic and proactive medical interventions through digital platforms that enable medicine-as-a-service to enhance the lives of millions of Filipinos.</li><li>People: To both work and have fun with a group of dynamic and passionate individuals from diverse backgrounds, from whom you will learn from and create bonds with.</li></ul><p><br></p><strong>Minimum Qualifications</strong><p><br></p><ul><li>Bachelor's degree in Computer Science, Information Systems, Information Technology, Information Design, or any related field</li><li>Proficient in Javascript, React, and Git</li><li>Must be willing to work onsite in Makati</li><li>Open to fresh graduates and experienced professionals</li></ul>
      ",1
5,https://linkedin.com/jobs/view/administrator-baz-danych-i-aplikacji-at-zus-3768460349?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=T2xfTflq3v9gHBTcFt3yVg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Administrator baz danych i aplikacji,ZUS,https://pl.linkedin.com/company/zus-pl?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-11-17,"Centrala, Soccsksargen, Philippines",Full-time,Information Technology,Insurance,Entry level,"
        <ul><li>Nazwa jednostki organizacyjnej<br><br></li></ul>Centrala ZUS<br><br><ul><li>Nazwa komórki organizacyjnej<br><br></li></ul>Departament Eksploatacji Aplikacji<br><br><ul><li>Miejsce pracy<br><br></li></ul>Centrala Zakładu Ubezpieczeń Społecznych<br><br><ul><li>Adres miejsca pracy<br><br></li></ul>Szamocka 3/5, 01-748, Warszawa<br><br><ul><li>Województwo<br><br></li></ul>mazowieckie<br><br><ul><li>Nazwa stanowiska pracy wg. regulaminu organizacyjnego<br><br></li></ul>Administrator baz danych i aplikacji<br><br><ul><li>Zadania<br><br></li></ul>Jeśli jesteś osobą elastyczną, nastawioną na rozwój i współpracę, potrafisz rozwiązywać problemy i czerpiesz satysfakcję z tego, że potrafisz osiągnąć cel i radzisz sobie w trudnych sytuacjach, to szukamy właśnie Ciebie!<br><br>Jesteśmy jedną z największych instytucji finansowych w Polsce! I jednym z największych pracodawców! Połączmy siły! Możesz nas wesprzeć swoją wiedzą i kompetencjami, a my pomożemy Ci w rozwoju. Uzyskasz szeroką wiedzę w obszarze najnowocześniejszych rozwiązań informatycznych pracując w ramach jednego z największych tego typu systemów na świecie. Ponadto zagwarantujemy Ci stabilne zatrudnienie na podstawie umowy o pracę, w ramach którego będziesz mógł współpracować z doświadczonymi fachowcami, zyskać oprócz wynagrodzenia premię kwartalną, możliwość pracy, w przyjaznej atmosferze, w elastycznym czasie pracy i/lub hybrydowo, oraz bogaty pakiet świadczeń socjalnych, dopłatę do studiów i dodatkowe ubezpieczenie zdrowotne i grupowe.<br><br><strong>Zadania<br><br></strong><ul><li> nadzoruje funkcjonowanie procesów przetwarzania</li><li> instaluje, konfiguruje, testuje i stroi aplikacje w ramach administrowanych systemów</li><li> obsługuje drugą linię wsparcia w ramach procesu zarządzania incydentami</li><li> realizuje badania przedprodukcyjne w zakresie usług świadczonych w ramach administrowanych systemów</li><li>Wymagania<br><br></li></ul><strong>Wymagania Niezbędne<br><br></strong><ul><li> wykształcenie wyższe<br><br></li></ul><strong>Mile Widziane<br><br></strong><ul><li> wykształcenie wyższe (informatyka, matematyka, elektronika, fizyka, telekomunikacja, ekonomia)</li><li> minimum 1 rok pracy związanej z administrowaniem aplikacjami na systemach Unix i Mainframe, dobra znajomość bazy DB2, Informix, MS SQL Server<br><br></li></ul><strong>Wymagania Dodatkowe<br><br></strong><ul><li> znajomość systemów Unix lub Linux</li><li> znajomość języka zapytań SQL</li><li> znajomość baz danych<br><br></li></ul><strong>Wymagane Dokumenty<br><br></strong><ul><li> CV</li><li> list motywacyjny</li><li> skany dokumentów potwierdzających wykształcenie<br><br></li></ul>Dokumenty należy przesłać przez formularz aplikacyjny wybierając <strong>Aplikuj </strong>na dole oferty.<br><br><strong>Dodatkowe Informacje<br><br></strong><ul><li> proces rekrutacji obejmować będzie rozmowę kwalifikacyjną (przeprowadzoną w siedzibie Centrali ZUS lub w formie zdalnej przez komunikator internetowy - wywiad on-line)</li><li> skontaktujemy się tylko z kandydatami spełniającymi wymaganie niezbędne</li><li> oferta niekompletna nie będzie rozpatrywana</li><li> dokumenty nadesłane po terminie nie będą rozpatrywane - oferty kandydatów niezakwalifikowanych zostaną komisyjnie zniszczone po zakończeniu procedury naboru</li><li>Termin, do którego należy składać dokumenty<br><br></li></ul>10-11-2023 <br><br><ul><li>Oferujemy<br><br></li></ul><strong>U Nas Zyskasz<br><br></strong><ul><li> stabilne zatrudnienie na podstawie umowy o pracę</li><li> możliwość rozwoju zawodowego</li><li> bogaty pakiet świadczeń socjalnych</li><li> system premiowy</li><li> możliwość dodatkowego ubezpieczenia zdrowotnego i/lub grupowego</li><li> możliwość uzyskania dofinansowania do studiów i kursów</li></ul>
      ",1
6,https://linkedin.com/jobs/view/software-engineer-at-hackerpulse-3745309405?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=y3h%2F54W4X%2B0%2BAokHvnQY4Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Software Engineer,HackerPulse,https://www.linkedin.com/company/hackerpulse?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-24,Philippines,Full-time,Engineering and Information Technology,"Technology, Information and Internet, Software Development, and Information Services",Entry level,"
        HackerPulse is an innovative platform dedicated to empowering software engineers to confidently showcase their skills, validated through adaptive testing and data analysis. We leverage the power of machine learning to analyze data from a range of sources, including GitHub, StackOverflow, Hacker News, LinkedIn, and academic papers, to create comprehensive user profiles that reflect their true abilities.<br><br><strong>The Role<br><br></strong><strong>You Will Be Responsible For<br><br></strong><ul><li>Gathering and evaluating user feedback.</li><li>Providing code documentation and other inputs to technical documents.</li><li>Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.</li><li>Troubleshooting and debugging to optimise performance.<br><br></li></ul><strong>Ideal Profile<br><br></strong><ul><li>You possess a Degree/Diploma in Computer Science, Engineering or related field.</li><li>You have at least 1 year experience, ideally within a Software Engineer role.</li><li>You are highly goal driven and work well in fast paced environments</li><li>You possess strong analytical skills and are comfortable dealing with numerical data</li><li>You pay strong attention to detail and deliver work that is of a high standard<br><br></li></ul><strong>What's on Offer?<br><br></strong><ul><li>Excellent career development opportunities</li><li>Leadership Role</li><li>Opportunity to make a positive impact</li></ul>
      ",1
7,https://linkedin.com/jobs/view/full-stack-developer-at-jg-summit-holdings-inc-3718631577?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=m4DO1tYm9T41N7T9xpLrLQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Full Stack Developer,JG Summit Holdings Inc.,https://linkedin.com/company/jgshi?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-12,"Quezon City, National Capital Region, Philippines",Full-time,Engineering and Information Technology,"Technology, Information and Internet",Entry level,"
        We are looking for a full stack developer to join our team and help us build innovative and scalable software solutions. The ideal candidate will have a strong understanding of both the front-end and back-end of web development, as well as experience with a variety of technologies and languages.<p><br></p>Responsibilities:<p><br></p><ul><li>Work with product managers and designers to gather requirements and design applications</li><li>Develop the user interface (UI) using HTML, CSS, and JavaScript</li><li>Develop the back-end logic using Java, Python, or C#</li><li>Integrate with databases and other third-party services</li><li>Test and debug applications </li><li>Deploy applications to production</li></ul><p><br></p>Qualifications:<p><br></p><ul><li>Bachelor's degree in computer science or a related field</li><li>3+ years of experience in full stack development</li><li>Strong understanding of HTML, CSS, JavaScript, and a back-end language such as Java, Python, or C#</li><li>Experience with a variety of web development frameworks and libraries</li><li>Experience with databases and data modeling</li><li>Excellent problem-solving and debugging skills</li><li>Ability to work independently and as part of a team</li><li>Excellent communication and interpersonal skills</li></ul>
      ",1
8,https://linkedin.com/jobs/view/full-stack-engineer-at-blaze-3741649948?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=Jg9KJ49oT1CUDepI%2B1gTZQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Full Stack Engineer,Blaze,https://www.linkedin.com/company/blazegaming?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-16,Philippines,Contract,Engineering,"Technology, Information and Internet",Entry level,"
        <strong>We are Blaze, the fastest-growing casino in LATAM.<br><br></strong>Blaze.com was born in 2019 as a result of a handful of entrepreneurs who not only had a knack for entertaining others but also an affinity for the iGaming industry. They teamed up and built a new product, setting the bar to an all-new high. Now in just two years, we have created a new category in iGaming by combining social and real-money gaming! We currently have 2,000+ games and 2,000,000+ registered players. Naturally, we can't do all of this as well as all the exciting things we have lined up for the years to follow without the living legends that make our business the success it is today.<br><br><ul><li>As a Full Stack Engineer, you will play a crucial role in the development and implementation of our innovative and tech-advanced online casino platform. A great opportunity to join an exciting, growing group of passionate Internet professionals based all around the world<br><br></li></ul><strong>Responsibilities<br><br></strong><ul><li>Collaborate with cross-functional teams to design and develop features for the online casino platform. </li><li>Work on a backend Node.js app backed by PostgreSQL &amp; Redis</li><li>Work on a frontend React + Redux app built using a modular architecture</li><li>Brainstorm and collaborate with Agile team to ideate software solutions</li><li>Test software to ensure responsiveness and efficiency</li><li>Keep up to date with new technological advances to improve business needs</li><li>Write technical documentation</li><li>Become a member and owner of our engineering culture, learning from other talented people, and sharing your own knowledge<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Bachelor's degree in Computer Science, Software Engineering, or a related field</li><li>Minimum of 4-year experience as a full stack engineer or a similar role</li><li>Strong knowledge in Node.JS and ReactJS</li><li>Proficient in React-Redux Library, CSS preprocessors such as LESS and SASS,.RESTful web services.Socket.IO</li><li>Ability to collaborate effectively with cross-functional teams and communicate technical concepts to non-technical stakeholders</li><li>Excellent communication skills and teamwork skills</li><li>Proficient in the English Language</li><li>Great attention to detail<br><br></li></ul><strong>Benefits<br><br></strong>Other details<br><br><ul><li>Location: Fully Remote - Latin America</li><li>Schedule: 40 hours per week / EST Time zone</li><li>Employment Type: Contract</li><li>12 paid time off</li></ul>
      ",1
9,https://linkedin.com/jobs/view/software-engineer-i-entry-level-at-stealth-monitoring-inc-3660025601?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=gJXepLZ3V9v7xYKR4m666w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Software Engineer I (Entry Level),"Stealth Monitoring, Inc.",https://www.linkedin.com/company/stealth-monitoring-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-07-10,"Pasig, National Capital Region, Philippines",Full-time,Engineering and Information Technology,Security and Investigations,Entry level,"
        Stealth Monitoring is looking for talented individuals like you! Be the next Software Engineer I.<br><br>Stealth Monitoring is looking for highly motivated <em>fresh graduates</em> to join the Stealth Software Development Team. Work with world class engineers in a fast-paced environment. Deliver cutting edge software solutions across IoT/Edge, Cloud, Web and Desktop. Contribute to the overall success of the business through the strategic Stealth Solutions Product line.<br><br>In addition to strong analytical and communication skills, to succeed in this role the candidate must have a positive attitude, an eagerness to learn, and an exceptional work ethic.<br><br><strong>Job Highlights<br><br></strong><ul><li>Day 1 HMO for you and two (2) of your dependents.</li><li>Annual and Performance Based Salary Increase</li><li>Additional Leave Credits<br><br></li></ul><strong>Duties &amp; Responsibilities<br><br></strong><ul><li>Contribute to delivery of feature and function requests through the agile software delivery methodology </li><li>Work closely with the senior software engineers through design, code and test for new product development </li><li>Provide feedback on requests, clarify requirements with Business Analysts </li><li>Troubleshoot issue reports and bugs. <br><br></li></ul><strong>Qualifications<br><br></strong><ul><li>Candidate must possess at least Bachelor’s/College Degree in Engineering (Computer/Telecommunication), Engineering (Electrical/Electronic), Computer Science/Information Technology, Physics or equivalent. </li><li>Excellent verbal and written communication skills </li><li>Practical work experience, apprenticeship, co-op work activities are a plus. </li><li>Experience with cloud-based technologies, such as Microsoft Azure, AWS is a plus.<br><br></li></ul>Core Competencies<br><br><ul><li>Software development lifecycle fundamentals </li><li>Data structures and design patterns fundamentals </li><li>Object oriented &amp; Event driven programming fundamentals </li><li>Relational database and SQL fundamentals </li><li>Programming experience in one or more languages, such a C#, Java, JavaScript, Python </li><li>Excellent communication skills: strong English is required. <br><br></li></ul><em>Why join Stealth Monitoring?<br><br></em><em>At Stealth Monitoring, we invite you to make a difference. Take over a position that creates community impact.<br><br></em><em>Get to work with skillful team members and experience limitless growth.<br><br></em><em>Choose to be exceptional and be part of the never-ending cycle of innovation, transformation and evolution of surveillance technology.</em>
      ",1
10,https://linkedin.com/jobs/view/software-engineer-at-paymongo-3734916936?refId=uiiktTVlBS2W8dLQkAcZ4Q%3D%3D&trackingId=Bu6q8u58EqyDyp9nvRveaA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,software development,Software Engineer,PayMongo,https://linkedin.com/company/paymongo?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-13,"Taguig, National Capital Region, Philippines",Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage",Not Applicable,"
        PayMongo builds the most advanced online payments infrastructure in SE Asia, starting in the Philippines. Over the next few years, we will build a broad suite of products that aims to lower the barriers and remove all the complexities in payments. We are rapidly expanding to serve diverse needs of thousands of business. To continue on this exponential period of growth, we seek to build the best and the most diverse team of thinkers, doers and starters.<br><br>PayMongo is, at its heart, an engineering company. We run multiple software systems and platform that power thousands of businesses. Our platform processes payments, detects fraud, enable merchants settlements, among many capabilities that help entrepreneurs and businesses scale online. Helping us build these systems are software engineers, building the core of the business and making some of the most significant decisions for the company.<br><br>In this role, you will get to work with other engineers, product managers and business leads to build features and products that our merchants love. You will be working on systems that span across the platform and collaborate with other teams in the company to understand and solve our users' pain points.<br><br>You will:<br><br><ul><li>Design, develop and maintain APIs, services and systems across the entire platform at PayMongo</li><li>Debug production issues across services and multiple levels of the stack</li><li>Work with other engineers in the company to build new features and products at scale</li><li>Uphold our high engineering standards and bring consistency to the many codebases and processes you will encounter</li><li>Collaborate with stakeholders across the company such as experts in product, design, infrastructure and compliance<br><br><br></li></ul>You might work on:<br><br><ul><li>Building new APIs for our users, or iterating on existing APIs</li><li>Launching new products, checkout experiences or payment methods</li><li>Building new tools for our internal operations, compliance and business teams</li><li>Crafting and refining onboarding experiences to help users get to what they want faster while balancing regulatory, risk and compliance requirements</li><li>Improving and adding functionalities to the PayMongo dashboard to help our customers run their business<br><br><br></li></ul>You may be a fit if:<br><br><ul><li>You have an extensive experience in shipping high-quality code and products</li><li>You enjoy being generalist, sometimes working on the frontend or backend—anything it takes to solve problems and delight users both internally and externally</li><li>You thrive in a collaborative environment involving different stakeholders and subject matter experts</li><li>You can stitch together many different services and processes together even if you have not worked with them before</li><li>You can put yourself in the shoes of our users and be a steward of crafting great experiences</li><li>You enjoy working with a diverse group of people with different expertise</li><li>You uphold best practices in engineering, security, quality and design<br><br><br></li></ul>PayMongo is a financial technology company enabling businesses to receive payments online easily. We started the company in March 2019, and we are backed by Silicon Valley's most forward-thinking investors including Y Combinator, Peter Thiel, Founders Fund and Stripe. We are looking for people with passion, grit and the integrity to help us build the future of payments.
      ",1
