id,indicator_id,skill_id
1,1,167
2,1,168
3,1,1
4,1,153
5,2,78
6,2,169
7,2,170
8,2,171
9,3,172
10,3,173
11,3,174
12,3,175
13,4,176
14,4,149
15,4,177
16,4,153
17,5,178
18,5,179
19,5,180
20,5,181
21,6,78
22,6,182
23,6,183
24,6,179
25,7,184
26,7,185
27,7,186
28,7,179
29,8,187
30,8,188
31,8,118
32,8,177
33,9,143
34,9,1
35,9,189
36,9,190
37,10,78
38,10,191
39,10,192
40,10,169
41,11,193
42,11,180
43,11,194
44,11,179
45,12,195
46,12,196
47,12,197
48,12,179
49,13,198
50,13,199
51,13,200
52,13,153
53,14,201
54,14,202
55,14,203
56,14,177
57,15,185
58,15,204
59,15,205
60,15,206
61,16,207
62,16,208
63,16,177
64,16,209
