id,mbti_id,skill_id
1,1,167
1,1,168
1,1,1
1,1,210
2,2,78
2,2,198
2,2,171
2,2,172
3,3,173
3,3,174
3,3,175
3,3,176
4,4,177
4,4,149
4,4,221
4,4,210
5,5,180
5,5,206
5,5,200
5,5,183
6,6,78
6,6,184
6,6,185
6,6,206
7,7,187
7,7,215
7,7,189
7,7,206
8,8,191
8,8,192
8,8,118
8,8,221
9,9,143
9,9,1
9,9,194
9,9,195
10,10,78
10,10,196
10,10,197
10,10,198
11,11,199
11,11,200
11,11,201
11,11,206
12,12,203
12,12,204
12,12,205
12,12,206
13,13,207
13,13,208
13,13,209
13,13,210
14,14,211
14,14,212
14,14,213
14,14,221
15,15,215
15,15,216
15,15,217
15,15,218
16,16,219
16,16,220
16,16,221
16,16,222
