id,level,skill_id,specialization_id
1,1,139,1
2,1,227,1
3,1,362,1
4,1,1475,1
5,1,2296,1
6,1,2449,1
7,1,2863,1
8,1,3467,1
9,1,4157,1
10,1,42,2
11,1,584,2
12,1,610,2
13,1,1135,2
14,1,1769,2
15,1,2245,2
16,1,2507,2
17,1,4230,2
18,1,4259,2
19,1,4339,2
20,1,240,3
21,1,267,3
22,1,4058,3
23,1,4159,3
24,7,7,4
25,124,14,4
26,1,15,4
27,39,24,4
28,1,27,4
29,9,29,4
30,9,31,4
31,4,35,4
32,20,36,4
33,9,37,4
34,1,42,4
35,1,50,4
36,1,56,4
37,48,62,4
38,8,65,4
39,1,67,4
40,2,71,4
41,47,72,4
42,2,75,4
43,7,81,4
44,3,82,4
45,7,83,4
46,2,86,4
47,4,89,4
48,1,91,4
49,2,97,4
50,35,103,4
51,13,106,4
52,4,111,4
53,30,114,4
54,6,117,4
55,2,118,4
56,1,119,4
57,1,120,4
58,18,127,4
59,2,129,4
60,8,130,4
61,1,132,4
62,15,134,4
63,25,137,4
64,1,138,4
65,6,142,4
66,2,154,4
67,1,158,4
68,19,159,4
69,5,165,4
70,3,176,4
71,1,184,4
72,1,187,4
73,25,190,4
74,1,194,4
75,5,200,4
76,4,201,4
77,1,215,4
78,2,220,4
79,1,221,4
80,2,225,4
81,1,228,4
82,8,236,4
83,6,238,4
84,83,239,4
85,73,241,4
86,1,243,4
87,1,244,4
88,3,247,4
89,10,253,4
90,10,255,4
91,28,257,4
92,2,259,4
93,1,260,4
94,1,265,4
95,28,266,4
96,28,267,4
97,2,268,4
98,5,269,4
99,18,270,4
100,2,271,4
101,34,273,4
102,4,276,4
103,80,279,4
104,103,284,4
105,7,291,4
106,9,292,4
107,5,298,4
108,8,305,4
109,65,308,4
110,31,310,4
111,2,311,4
112,78,316,4
113,8,327,4
114,1,335,4
115,31,336,4
116,7,337,4
117,1,347,4
118,3,361,4
119,1,366,4
120,1,368,4
121,1,369,4
122,1,371,4
123,1,372,4
124,4,377,4
125,1,378,4
126,4,380,4
127,3,384,4
128,11,385,4
129,2,386,4
130,2,407,4
131,1,409,4
132,1,417,4
133,1,420,4
134,1,431,4
135,22,433,4
136,1,434,4
137,1,435,4
138,1,446,4
139,1,450,4
140,1,454,4
141,6,457,4
142,1,458,4
143,1,474,4
144,1,476,4
145,2,481,4
146,1,488,4
147,12,489,4
148,4,490,4
149,1,492,4
150,1,494,4
151,1,501,4
152,3,502,4
153,1,503,4
154,3,511,4
155,71,515,4
156,1,523,4
157,1,527,4
158,7,529,4
159,1,530,4
160,2,531,4
161,36,537,4
162,1,546,4
163,24,552,4
164,1,554,4
165,2,559,4
166,1,561,4
167,1,562,4
168,1,564,4
169,4,567,4
170,23,578,4
171,2,583,4
172,1,588,4
173,8,589,4
174,1,590,4
175,3,594,4
176,1,604,4
177,21,606,4
178,11,610,4
179,1,613,4
180,7,615,4
181,1,616,4
182,1,618,4
183,6,619,4
184,1,621,4
185,2,622,4
186,3,625,4
187,1,637,4
188,1,638,4
189,1,644,4
190,2,650,4
191,1,653,4
192,1,655,4
193,1,661,4
194,19,662,4
195,6,665,4
196,3,667,4
197,1,668,4
198,3,676,4
199,1,677,4
200,1,684,4
201,19,691,4
202,1,694,4
203,1,698,4
204,2,703,4
205,1,710,4
206,1,717,4
207,1,719,4
208,7,726,4
209,1,727,4
210,1,734,4
211,1,738,4
212,1,742,4
213,1,749,4
214,3,754,4
215,19,756,4
216,1,766,4
217,9,778,4
218,7,783,4
219,1,792,4
220,2,794,4
221,2,799,4
222,1,801,4
223,1,807,4
224,1,812,4
225,1,818,4
226,1,820,4
227,5,821,4
228,2,824,4
229,14,825,4
230,2,826,4
231,1,829,4
232,1,831,4
233,1,832,4
234,1,836,4
235,1,837,4
236,8,841,4
237,1,842,4
238,1,843,4
239,1,847,4
240,1,862,4
241,1,866,4
242,7,868,4
243,2,869,4
244,4,876,4
245,1,882,4
246,1,884,4
247,31,891,4
248,1,895,4
249,3,898,4
250,1,900,4
251,1,902,4
252,1,904,4
253,1,905,4
254,1,910,4
255,20,912,4
256,1,914,4
257,1,920,4
258,1,923,4
259,3,937,4
260,1,939,4
261,1,941,4
262,1,945,4
263,1,947,4
264,9,950,4
265,2,952,4
266,1,955,4
267,1,957,4
268,1,965,4
269,1,966,4
270,1,969,4
271,1,975,4
272,1,983,4
273,1,987,4
274,4,988,4
275,2,989,4
276,11,990,4
277,1,1002,4
278,1,1005,4
279,1,1008,4
280,1,1009,4
281,2,1012,4
282,7,1020,4
283,1,1023,4
284,5,1026,4
285,1,1028,4
286,11,1042,4
287,1,1043,4
288,1,1045,4
289,4,1050,4
290,1,1056,4
291,1,1062,4
292,1,1073,4
293,1,1079,4
294,1,1082,4
295,1,1087,4
296,11,1090,4
297,1,1091,4
298,1,1093,4
299,1,1095,4
300,1,1097,4
301,1,1098,4
302,3,1099,4
303,2,1100,4
304,1,1102,4
305,12,1108,4
306,1,1112,4
307,1,1118,4
308,2,1123,4
309,121,1135,4
310,5,1139,4
311,1,1146,4
312,2,1148,4
313,2,1153,4
314,1,1164,4
315,2,1165,4
316,1,1166,4
317,1,1179,4
318,2,1180,4
319,1,1185,4
320,1,1191,4
321,16,1194,4
322,22,1197,4
323,2,1198,4
324,2,1200,4
325,1,1206,4
326,1,1211,4
327,1,1222,4
328,3,1227,4
329,1,1230,4
330,2,1233,4
331,2,1244,4
332,1,1245,4
333,14,1251,4
334,1,1255,4
335,1,1259,4
336,7,1262,4
337,1,1268,4
338,1,1271,4
339,1,1287,4
340,1,1291,4
341,2,1305,4
342,1,1307,4
343,1,1309,4
344,4,1311,4
345,2,1318,4
346,1,1320,4
347,1,1321,4
348,1,1323,4
349,2,1324,4
350,1,1327,4
351,1,1329,4
352,6,1334,4
353,1,1338,4
354,2,1341,4
355,1,1342,4
356,1,1343,4
357,3,1346,4
358,1,1349,4
359,1,1352,4
360,1,1353,4
361,3,1355,4
362,1,1358,4
363,3,1362,4
364,1,1369,4
365,2,1371,4
366,1,1375,4
367,3,1376,4
368,1,1379,4
369,1,1380,4
370,2,1383,4
371,1,1389,4
372,1,1393,4
373,2,1395,4
374,24,1400,4
375,4,1404,4
376,1,1412,4
377,1,1413,4
378,48,1415,4
379,1,1416,4
380,1,1417,4
381,2,1418,4
382,3,1422,4
383,1,1425,4
384,5,1431,4
385,1,1435,4
386,1,1437,4
387,1,1438,4
388,1,1447,4
389,1,1448,4
390,1,1453,4
391,2,1455,4
392,2,1456,4
393,4,1457,4
394,2,1458,4
395,18,1459,4
396,1,1460,4
397,1,1461,4
398,5,1463,4
399,3,1477,4
400,2,1482,4
401,26,1483,4
402,5,1485,4
403,1,1487,4
404,45,1490,4
405,8,1491,4
406,2,1492,4
407,1,1494,4
408,2,1495,4
409,1,1497,4
410,5,1499,4
411,1,1512,4
412,1,1516,4
413,3,1519,4
414,1,1521,4
415,5,1523,4
416,1,1524,4
417,1,1532,4
418,2,1535,4
419,2,1538,4
420,15,1542,4
421,4,1547,4
422,6,1548,4
423,1,1549,4
424,3,1550,4
425,1,1559,4
426,14,1564,4
427,2,1566,4
428,6,1571,4
429,1,1572,4
430,1,1577,4
431,1,1581,4
432,1,1582,4
433,1,1588,4
434,1,1591,4
435,3,1595,4
436,1,1602,4
437,16,1609,4
438,1,1610,4
439,2,1613,4
440,1,1635,4
441,1,1636,4
442,1,1640,4
443,1,1641,4
444,2,1643,4
445,1,1645,4
446,1,1649,4
447,3,1652,4
448,2,1653,4
449,2,1659,4
450,1,1663,4
451,2,1667,4
452,13,1668,4
453,1,1669,4
454,7,1685,4
455,1,1687,4
456,5,1691,4
457,1,1694,4
458,2,1698,4
459,1,1703,4
460,3,1705,4
461,1,1708,4
462,1,1712,4
463,10,1713,4
464,4,1714,4
465,1,1726,4
466,10,1734,4
467,1,1735,4
468,1,1737,4
469,4,1740,4
470,7,1743,4
471,2,1745,4
472,1,1746,4
473,80,1751,4
474,4,1758,4
475,4,1771,4
476,3,1774,4
477,1,1776,4
478,1,1779,4
479,1,1780,4
480,1,1785,4
481,2,1786,4
482,1,1798,4
483,2,1806,4
484,1,1807,4
485,3,1812,4
486,1,1816,4
487,4,1819,4
488,1,1821,4
489,1,1822,4
490,1,1823,4
491,1,1830,4
492,1,1838,4
493,1,1839,4
494,7,1840,4
495,1,1844,4
496,1,1848,4
497,1,1849,4
498,14,1853,4
499,2,1854,4
500,1,1855,4
501,2,1860,4
502,5,1861,4
503,5,1862,4
504,12,1864,4
505,2,1875,4
506,1,1877,4
507,1,1882,4
508,5,1884,4
509,1,1885,4
510,1,1890,4
511,93,1891,4
512,10,1894,4
513,3,1900,4
514,6,1901,4
515,1,1904,4
516,1,1906,4
517,2,1909,4
518,4,1915,4
519,3,1921,4
520,8,1925,4
521,17,1928,4
522,1,1931,4
523,1,1934,4
524,2,1936,4
525,1,1951,4
526,1,1952,4
527,1,1953,4
528,2,1955,4
529,4,1959,4
530,1,1964,4
531,1,1978,4
532,1,1984,4
533,1,1987,4
534,1,1990,4
535,1,1991,4
536,1,1992,4
537,1,1998,4
538,3,1999,4
539,1,2002,4
540,1,2003,4
541,3,2004,4
542,3,2008,4
543,1,2009,4
544,1,2021,4
545,7,2022,4
546,18,2025,4
547,1,2026,4
548,2,2030,4
549,1,2048,4
550,1,2049,4
551,1,2051,4
552,5,2052,4
553,2,2053,4
554,1,2058,4
555,1,2059,4
556,1,2060,4
557,24,2066,4
558,32,2072,4
559,1,2073,4
560,1,2077,4
561,1,2078,4
562,9,2080,4
563,1,2086,4
564,1,2098,4
565,1,2104,4
566,1,2108,4
567,1,2112,4
568,63,2113,4
569,2,2117,4
570,1,2124,4
571,1,2129,4
572,1,2131,4
573,3,2132,4
574,1,2135,4
575,3,2137,4
576,1,2140,4
577,2,2143,4
578,2,2147,4
579,1,2148,4
580,3,2150,4
581,1,2159,4
582,1,2164,4
583,1,2171,4
584,1,2172,4
585,1,2174,4
586,1,2180,4
587,1,2181,4
588,3,2186,4
589,1,2187,4
590,4,2191,4
591,1,2193,4
592,1,2195,4
593,3,2196,4
594,1,2200,4
595,2,2202,4
596,1,2210,4
597,2,2211,4
598,6,2215,4
599,1,2216,4
600,8,2217,4
601,1,2231,4
602,1,2232,4
603,7,2233,4
604,10,2238,4
605,3,2240,4
606,33,2244,4
607,1,2245,4
608,1,2259,4
609,65,2263,4
610,2,2265,4
611,1,2269,4
612,5,2272,4
613,1,2277,4
614,1,2284,4
615,43,2291,4
616,1,2306,4
617,1,2311,4
618,8,2312,4
619,1,2316,4
620,1,2317,4
621,5,2319,4
622,28,2322,4
623,2,2324,4
624,1,2325,4
625,1,2336,4
626,2,2337,4
627,1,2343,4
628,1,2348,4
629,4,2350,4
630,4,2351,4
631,1,2358,4
632,1,2361,4
633,20,2364,4
634,2,2367,4
635,1,2371,4
636,9,2372,4
637,2,2373,4
638,1,2377,4
639,1,2382,4
640,2,2383,4
641,1,2384,4
642,1,2386,4
643,1,2387,4
644,1,2388,4
645,1,2397,4
646,1,2407,4
647,1,2408,4
648,3,2413,4
649,2,2418,4
650,1,2426,4
651,1,2429,4
652,1,2430,4
653,20,2434,4
654,1,2439,4
655,1,2443,4
656,1,2444,4
657,1,2447,4
658,27,2449,4
659,1,2453,4
660,4,2454,4
661,1,2462,4
662,82,2469,4
663,49,2470,4
664,1,2471,4
665,6,2484,4
666,1,2487,4
667,2,2490,4
668,7,2491,4
669,1,2492,4
670,21,2496,4
671,1,2497,4
672,3,2499,4
673,1,2501,4
674,111,2507,4
675,1,2508,4
676,3,2514,4
677,1,2515,4
678,2,2520,4
679,1,2522,4
680,4,2525,4
681,1,2527,4
682,2,2528,4
683,1,2535,4
684,6,2538,4
685,7,2540,4
686,1,2541,4
687,1,2542,4
688,2,2543,4
689,1,2544,4
690,1,2552,4
691,1,2555,4
692,1,2561,4
693,6,2562,4
694,2,2565,4
695,4,2577,4
696,4,2579,4
697,1,2580,4
698,1,2581,4
699,15,2582,4
700,1,2583,4
701,5,2587,4
702,14,2590,4
703,2,2592,4
704,2,2596,4
705,1,2603,4
706,3,2605,4
707,19,2606,4
708,1,2607,4
709,1,2613,4
710,2,2614,4
711,4,2623,4
712,4,2624,4
713,1,2628,4
714,7,2631,4
715,21,2634,4
716,1,2636,4
717,3,2637,4
718,1,2639,4
