field,field_name,description
1,Software Development,Software Development Description
2,Data and Analytics,Data and Analytics Description
3,Design and UX/UI,Design and UX/UI Description
4,Product Management,Product Management Description
5,Testing and Quality Assurance,Testing and Quality Assurance Description
6,Security,Security Description
7,Networking and Infrastructure,Networking and Infrastructure Description
8,Project Management,Project Management Description
9,Business and Strategy,Business and Strategy Description
10,Emerging and Specialized,Emerging and Specialized Description
